lr,epochs,batch_size,hidden_dropout_prob,best_dev_acc,best_dev_f1,test_acc,test_f1,train_time_s
1e-05,10,8,0.1,0.9143,0.9143,0.5164,0.3405,321.7
1e-05,10,8,0.3,0.9143,0.9143,0.4529,0.3117,329.4
2e-05,10,8,0.1,0.9143,0.9141,0.5205,0.3423,251.5
5e-05,5,8,0.1,0.9143,0.9142,0.5,0.3333,110.2
5e-05,10,8,0.1,0.9143,0.9142,0.5082,0.337,290.9
2e-05,5,8,0.1,0.898,0.8979,0.5102,0.3379,155.0
5e-05,10,8,0.3,0.898,0.898,0.4672,0.3184,279.4
1e-05,5,8,0.1,0.8898,0.8898,0.4775,0.3232,167.5
2e-05,10,8,0.3,0.8898,0.8893,0.5451,0.3528,251.7
2e-05,5,8,0.3,0.8816,0.8816,0.416,0.2938,169.8
1e-05,5,8,0.3,0.8571,0.8568,0.3934,0.2824,168.0
5e-05,5,8,0.3,0.8327,0.8317,0.3914,0.2813,129.6
